CARACTERÍSTICAS ESCOLA CÓDIGO DA ENTIDADE,NOME DA ENTIDADE,SIGLA DA UF,MUNICÍPIO,DEPENDÊNCIA ADMINISTRATIVA,LOCALIZAÇÃO,NÚMERO DE ALUNOS NO CENSO,PORTE DA ESCOLA,NÚMERO DE PARTICIPANTES NO ENEM,TAXA DE PARTICPAÇÃO,NÚMERO DE PARTICIPANTES COM NECESSIDADES ESPECIAIS,INDICADORES INDICADOR DE PERMANENCIA NA ESCOLA,INDICADOR NÍVEL SOCIOECONÔMICO,FAIXA - INDICADOR DE FORMAÇÃO DOCENTE,INDICADOR DE FORMAÇÃO DOCENTE,TAXA DE APROVAÇÃO,TAXA DE REPROVAÇÃO,TAXA DE ABANDONO,DESEMPENHO  CIÊNCIAS HUMANAS E SUAS TECNOLOGIAS MÉDIA DOS 30 MELHORES ALUNOS DA ESCOLA,MÉDIA,Percentual alunos NÍVEL 1,Percentual alunos NÍVEL 2,Percentual alunos NÍVEL 3,Percentual alunos NÍVEL 4,Percentual alunos NÍVEL 5
1.2018422E7,ESC SANTA LUCIA III,AC,ACRELANDIA,Estadual,Rural,19.0,De 1 a 30 alunos,11.0,57.89473684210527,0.0,80% ou mais,Médio Baixo,Até 50%,28.6,93.9,3.7,2.4,,498.27272727272725,18.181818181818183,72.72727272727273,9.090909090909092,0.0,0.0
1.2021768E7,ESC MARCILIO PONTES DOS SANTOS,AC,ACRELANDIA,Estadual,Urbana,125.0,Mais que 90 alunos,79.0,63.2,1.0,80% ou mais,Médio,Até 50%,43.8,65.4,11.1,23.5,571.06,506.72911392405064,21.518987341772153,49.36708860759494,29.11392405063291,0.0,0.0
1.2015946E7,ESC PROF IRIS CELIA CABANELLAS ZANNINI,AC,ASSIS BRASIL,Estadual,Urbana,50.0,De 31 a 60 alunos,29.0,57.99999999999999,1.0,De 60% a 80%,Médio Baixo,Até 50%,26.4,79.3,13.6,7.1,,492.4413793103448,27.586206896551722,51.724137931034484,20.689655172413794,0.0,0.0
1.2009369E7,ESC SAO JOAO BATISTA,AC,BUJARI,Estadual,Urbana,96.0,Mais que 90 alunos,59.0,61.458333333333336,1.0,De 60% a 80%,Médio Baixo,Maior que 50%,51.3,79.4,17.2,3.4,553.2133333333334,507.9830508474576,15.254237288135593,57.6271186440678,27.11864406779661,0.0,0.0
1.2009725E7,ESC ARGENTINA PEREIRA FEITOSA,AC,CAPIXABA,Estadual,Urbana,66.0,De 61 a 90 alunos,48.0,72.72727272727273,0.0,De 60% a 80%,Médio,Maior que 50%,52.9,87.6,6.5,5.9,533.54,493.85625000000005,27.083333333333332,58.333333333333336,12.5,2.083333333333333,0.0
1.2000906E7,ESC JUAREZ IBERNON,AC,CRUZEIRO DO SUL,Estadual,Rural,49.0,De 31 a 60 alunos,30.0,61.224489795918366,0.0,80% ou mais,Médio Baixo,Maior que 50%,53.8,79.7,8.7,11.6,496.3966666666667,496.39666666666665,23.333333333333332,66.66666666666666,10.0,0.0,0.0
1.200093E7,ESC MANOEL BRAZ DE MELO,AC,CRUZEIRO DO SUL,Estadual,Rural,77.0,De 61 a 90 alunos,40.0,51.94805194805194,0.0,80% ou mais,Médio Baixo,Até 50%,40.3,95.9,2.4,1.7,531.98,506.555,20.0,55.00000000000001,25.0,0.0,0.0
1.2001015E7,ESC MARIA DE NAZARE SANTIAGO,AC,CRUZEIRO DO SUL,Estadual,Rural,39.0,De 31 a 60 alunos,22.0,56.41025641025641,0.0,De 60% a 80%,Médio Baixo,Até 50%,46.2,87.4,3.7,8.9,,502.7318181818182,18.181818181818183,68.18181818181817,13.636363636363635,0.0,0.0
1.2029718E7,ESC MAGIA DO SABER,AC,CRUZEIRO DO SUL,Estadual,Rural,22.0,De 1 a 30 alunos,11.0,50.0,0.0,80% ou mais,Sem informação,Até 50%,2.8,100.0,0.0,0.0,,480.6181818181818,27.27272727272727,72.72727272727273,0.0,0.0,0.0
1.2000213E7,ESC ANSELMO MAIA DE CARVALHO,AC,CRUZEIRO DO SUL,Estadual,Urbana,98.0,Mais que 90 alunos,49.0,50.0,0.0,De 40% a 60%,Médio Baixo,Até 50%,29.8,98.2,1.8,0.0,545.33,500.1408163265306,26.53061224489796,46.93877551020408,26.53061224489796,0.0,0.0
