CARACTERÍSTICAS ESCOLA CÓDIGO DA ENTIDADE,NOME DA ENTIDADE,SIGLA DA UF,MUNICÍPIO,DEPENDÊNCIA ADMINISTRATIVA,LOCALIZAÇÃO,NÚMERO DE ALUNOS NO CENSO,PORTE DA ESCOLA,NÚMERO DE PARTICIPANTES NO ENEM,TAXA DE PARTICPAÇÃO,NÚMERO DE PARTICIPANTES COM NECESSIDADES ESPECIAIS,INDICADORES INDICADOR DE PERMANENCIA NA ESCOLA,INDICADOR NÍVEL SOCIOECONÔMICO,FAIXA - INDICADOR DE FORMAÇÃO DOCENTE,INDICADOR DE FORMAÇÃO DOCENTE,TAXA DE APROVAÇÃO,TAXA DE REPROVAÇÃO,TAXA DE ABANDONO,"DESEMPENHO  LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS MÉDIA DOS 30 MELHORES ALUNOS DA ESCOLA",MÉDIA,Percentual alunos NÍVEL 1,Percentual alunos NÍVEL 2,Percentual alunos NÍVEL 3,Percentual alunos NÍVEL 4,Percentual alunos NÍVEL 5
1.2018422E7,ESC SANTA LUCIA III,AC,ACRELANDIA,Estadual,Rural,19.0,De 1 a 30 alunos,11.0,57.89473684210527,0.0,80% ou mais,Médio Baixo,Até 50%,28.6,93.9,3.7,2.4,,447.93636363636364,45.45454545454545,45.45454545454545,9.090909090909092,0.0,0.0
1.2021768E7,ESC MARCILIO PONTES DOS SANTOS,AC,ACRELANDIA,Estadual,Urbana,125.0,Mais que 90 alunos,79.0,63.2,1.0,80% ou mais,Médio,Até 50%,43.8,65.4,11.1,23.5,532.7933333333333,468.8556962025317,35.44303797468354,54.43037974683544,10.126582278481013,0.0,0.0
1.2015946E7,ESC PROF IRIS CELIA CABANELLAS ZANNINI,AC,ASSIS BRASIL,Estadual,Urbana,50.0,De 31 a 60 alunos,29.0,57.99999999999999,1.0,De 60% a 80%,Médio Baixo,Até 50%,26.4,79.3,13.6,7.1,,451.54137931034484,51.724137931034484,41.37931034482759,6.896551724137931,0.0,0.0
1.2009369E7,ESC SAO JOAO BATISTA,AC,BUJARI,Estadual,Urbana,96.0,Mais que 90 alunos,59.0,61.458333333333336,1.0,De 60% a 80%,Médio Baixo,Maior que 50%,51.3,79.4,17.2,3.4,509.6533333333333,461.89661016949157,44.06779661016949,50.847457627118644,5.084745762711865,0.0,0.0
1.2009725E7,ESC ARGENTINA PEREIRA FEITOSA,AC,CAPIXABA,Estadual,Urbana,66.0,De 61 a 90 alunos,48.0,72.72727272727273,0.0,De 60% a 80%,Médio,Maior que 50%,52.9,87.6,6.5,5.9,498.0833333333333,466.48541666666665,41.66666666666667,54.166666666666664,4.166666666666666,0.0,0.0
1.2000906E7,ESC JUAREZ IBERNON,AC,CRUZEIRO DO SUL,Estadual,Rural,49.0,De 31 a 60 alunos,30.0,61.224489795918366,0.0,80% ou mais,Médio Baixo,Maior que 50%,53.8,79.7,8.7,11.6,462.0566666666667,462.0566666666667,36.666666666666664,63.33333333333333,0.0,0.0,0.0
1.200093E7,ESC MANOEL BRAZ DE MELO,AC,CRUZEIRO DO SUL,Estadual,Rural,77.0,De 61 a 90 alunos,40.0,51.94805194805194,0.0,80% ou mais,Médio Baixo,Até 50%,40.3,95.9,2.4,1.7,503.5133333333334,479.03000000000003,27.500000000000004,60.0,12.5,0.0,0.0
1.2001015E7,ESC MARIA DE NAZARE SANTIAGO,AC,CRUZEIRO DO SUL,Estadual,Rural,39.0,De 31 a 60 alunos,22.0,56.41025641025641,0.0,De 60% a 80%,Médio Baixo,Até 50%,46.2,87.4,3.7,8.9,,446.0136363636364,40.909090909090914,59.09090909090909,0.0,0.0,0.0
1.2029718E7,ESC MAGIA DO SABER,AC,CRUZEIRO DO SUL,Estadual,Rural,22.0,De 1 a 30 alunos,11.0,50.0,0.0,80% ou mais,Sem informação,Até 50%,2.8,100.0,0.0,0.0,,426.77272727272725,72.72727272727273,27.27272727272727,0.0,0.0,0.0
1.2000213E7,ESC ANSELMO MAIA DE CARVALHO,AC,CRUZEIRO DO SUL,Estadual,Urbana,98.0,Mais que 90 alunos,49.0,50.0,0.0,De 40% a 60%,Médio Baixo,Até 50%,29.8,98.2,1.8,0.0,501.12333333333333,460.3489795918367,40.816326530612244,51.02040816326531,8.16326530612245,0.0,0.0
1.200045E7,ESC CRAVEIRO COSTA,AC,CRUZEIRO DO SUL,Estadual,Urbana,277.0,Mais que 90 alunos,144.0,51.985559566786996,0.0,De 60% a 80%,Médio Baixo,Até 50%,31.6,73.2,14.2,12.6,532.9533333333334,454.7472222222222,43.75,51.388888888888886,4.861111111111112,0.0,0.0
1.2000914E7,ESC MADRE ADELGUNDES BECKER,AC,CRUZEIRO DO SUL,Estadual,Urbana,53.0,De 31 a 60 alunos,36.0,67.9245283018868,1.0,De 60% a 80%,Baixo,Até 50%,33.3,89.4,7.0,3.6,468.71,449.8027777777777,41.66666666666667,58.333333333333336,0.0,0.0,0.0
1.2020249E7,ESC DOM HENRIQUE RUTH,AC,CRUZEIRO DO SUL,Estadual,Urbana,466.0,Mais que 90 alunos,265.0,56.866952789699575,6.0,De 60% a 80%,Médio Baixo,Até 50%,41.4,58.1,16.3,25.6,590.4,494.3071698113207,25.660377358490567,53.9622641509434,20.37735849056604,0.0,0.0
1.2030937E7,INSTITUTO FEDERAL DO ACRE CAMPUS CRUZEIRO DO SUL,AC,CRUZEIRO DO SUL,Federal,Urbana,42.0,De 31 a 60 alunos,28.0,66.66666666666666,0.0,De 40% a 60%,Médio Baixo,Maior que 50%,93.8,68.5,25.8,5.7,,507.4071428571429,3.571428571428571,78.57142857142857,17.857142857142858,0.0,0.0
1.2001686E7,ESC INST ORFANOLOGICO SANTA TERESINHA,AC,CRUZEIRO DO SUL,Privada,Urbana,39.0,De 31 a 60 alunos,35.0,89.74358974358975,0.0,80% ou mais,Muito Alto,Até 50%,46.2,94.2,5.8,0.0,567.61,552.3028571428571,2.857142857142857,42.857142857142854,54.285714285714285,0.0,0.0
1.2031674E7,ESCOLA BELO PORVIR,AC,EPITACIOLANDIA,Estadual,Urbana,167.0,Mais que 90 alunos,90.0,53.89221556886228,0.0,Menos de 20%,Médio Baixo,Até 50%,46.6,71.6,10.9,17.5,542.7633333333334,478.37888888888887,27.77777777777778,62.22222222222222,10.0,0.0,0.0
1.2030155E7,ESC JAIRO DE FIGUEIREDO MELO,AC,JORDAO,Estadual,Urbana,60.0,De 31 a 60 alunos,34.0,56.666666666666664,0.0,80% ou mais,Baixo,Até 50%,38.5,81.2,8.5,10.3,463.9933333333333,451.3,47.05882352941176,50.0,2.941176470588235,0.0,0.0
1.2001805E7,ESC 1º DE MAIO,AC,MANCIO LIMA,Estadual,Urbana,34.0,De 31 a 60 alunos,24.0,70.58823529411765,0.0,De 60% a 80%,Médio Baixo,Maior que 50%,60.0,92.7,6.6,0.7,,440.27500000000003,54.166666666666664,45.83333333333333,0.0,0.0,0.0
1.2001945E7,ESC ANTONIO OLIVEIRA DANTAS,AC,MANCIO LIMA,Estadual,Urbana,83.0,De 61 a 90 alunos,47.0,56.62650602409639,1.0,De 60% a 80%,Médio Baixo,Maior que 50%,51.0,87.5,1.1,11.4,504.1566666666667,475.90212765957443,29.78723404255319,61.702127659574465,8.51063829787234,0.0,0.0
1.2002046E7,ESC FRANCISCO FREIRE DE CARVALHO,AC,MANCIO LIMA,Estadual,Urbana,72.0,De 61 a 90 alunos,36.0,50.0,0.0,80% ou mais,Médio Baixo,Maior que 50%,53.8,96.0,1.2,2.8,475.3466666666667,455.63333333333344,44.44444444444444,50.0,5.555555555555555,0.0,0.0
1.200692E7,ESC NAZIRA ANUTE DE LIMA,AC,MANOEL URBANO,Estadual,Urbana,66.0,De 61 a 90 alunos,34.0,51.515151515151516,1.0,80% ou mais,Médio,Até 50%,45.5,77.5,6.9,15.6,507.31666666666666,492.63235294117646,20.588235294117645,58.82352941176471,20.588235294117645,0.0,0.0
1.2010731E7,ESC SAO LUIZ GONZAGA,AC,PLACIDO DE CASTRO,Estadual,Rural,69.0,De 61 a 90 alunos,39.0,56.52173913043478,0.0,80% ou mais,Médio Baixo,Até 50%,43.2,88.1,3.2,8.7,490.93999999999994,460.2925,38.46153846153847,53.84615384615385,7.6923076923076925,0.0,0.0
1.2023779E7,ESC JOAO RICARDO DE FREITAS,AC,PLACIDO DE CASTRO,Estadual,Urbana,154.0,Mais que 90 alunos,109.0,70.77922077922078,0.0,80% ou mais,Médio,Até 50%,46.2,83.6,6.6,9.8,545.82,473.7715596330275,33.94495412844037,55.04587155963303,11.009174311926607,0.0,0.0
